name,achievement_name_en,achievement_name_pl,achievement_name_ru,text_en,text_pl,text_ru
achievement_ll1,First letters,Pierwsze litery,Первые буквы,You've learned 10 letters,Nauczyłeś się 10 liter,Вы выучили 10 букв
achievement_ll2,Most of them,Większość z nich,Большинство из иих,You've learned 20 letter,Nauczyłeś się 20 liter,Вы выучили 20 букв
achievement_ll3,You've got them all,Znasz je wszystkie,Вы знаете их всех,You've learned the whole alphabet,Nauczyłeś się całego alfabetu,Вы выучили весь алфавит
achievement_ta1,Good beginning,Dobry początek,Хорошие начало,10 good answers in Time Attack mode,10 dobrych odpowiedzi w trybie Nauki Na Czas,10 хороших ответов в режиме обучения по времени
achievement_ta2,Doing well,Dobrze ci idzie,Ты хорошо справляешься,20 good answers in Time Attack mode,20 dobrych odpowiedzi w trybie Nauki Na Czas,20 хороших ответов в режиме обучения по времени
achievement_ta3,Fast and furious,Szybko i wściekle,Форсаж,30 good answers in Time Attack mode,30 dobrych odpowiedzi w trybie Nauki Na Czas,30 хороших ответов в режиме обучения по времени
achievement_trans1,First line,Pierwsza linia,Первая строка,Transcribe one line without making any errors,Bezbłednie przetranskrybuj jedną linię,Безупречно расшифруйте одну строку
achievement_trans2,Five in a row,Pięć pod rząd,Пять подряд,Transcribe five lines in a row without making any errors,Bezbłednie przetranskrybuj pięć linii pod rząd,Безупречно расшифруйте пять строк
achievement_trans3,Master,Mistrz,Мастер,Transcribe whole text without making any errors,Bezbłędnie transkrybuj cały tekst,Расшифруйте весь текст без ошибок
achievement_history,Historian,Historyk,Историк,Read all text about history of Georgian alphabets,Przeczytano wszystkie teksty o historii gruzińskich alfabetów,Все тексты по истории грузинских алфавитов прочитаны